,Coefficient,Mean Absolute Error,Explained Variance Score
vertical_drop,2.06430536609036,5.094973346971159,0.9365302558936701
trams,-0.2858371069003199,5.094973346971159,0.9365302558936701
fastEight,0.03743594737371132,5.094973346971159,0.9365302558936701
fastSixes,0.46570532451436764,5.094973346971159,0.9365302558936701
fastQuads,0.7674824275901431,5.094973346971159,0.9365302558936701
quad,1.2391269419542095,5.094973346971159,0.9365302558936701
triple,1.4509746768559135,5.094973346971159,0.9365302558936701
double,0.26959040600161494,5.094973346971159,0.9365302558936701
surface,-1.2504840734198475,5.094973346971159,0.9365302558936701
total_chairs,0.6418315915926076,5.094973346971159,0.9365302558936701
Runs,-1.3618733005717083,5.094973346971159,0.9365302558936701
TerrainParks,-0.28907585642778977,5.094973346971159,0.9365302558936701
LongestRun_mi,-0.3166455300392746,5.094973346971159,0.9365302558936701
SkiableTerrain_ac,0.12404901273231513,5.094973346971159,0.9365302558936701
Snow Making_ac,0.08674042494854839,5.094973346971159,0.9365302558936701
daysOpenLastYear,1.2015221183436806,5.094973346971159,0.9365302558936701
yearsOpen,0.25552797351709045,5.094973346971159,0.9365302558936701
averageSnowfall,-0.9872765269846918,5.094973346971159,0.9365302558936701
AdultWeekday,20.128806328233665,5.094973346971159,0.9365302558936701
projectedDaysOpen,-0.5877440246052759,5.094973346971159,0.9365302558936701
NightSkiing_ac,0.4234961467378156,5.094973346971159,0.9365302558936701
clusters,-2.6478714670093964,5.094973346971159,0.9365302558936701
